census_year,area_code,area,household_type,household_count
2023,16,Tasman Region,Household composition unidentifiable,90
2023,16,Tasman Region,Total stated - household composition by number of usual residents,21030
2023,16,Tasman Region,Not elsewhere included,834
2023,17,Nelson Region,Total - household composition by number of usual residents,20577
2023,17,Nelson Region,One-family household (with or without other people),13242
2023,17,Nelson Region,Two-family household (with or without other people),405
2023,17,Nelson Region,Three-or-more family household (with or without other people),15
2023,17,Nelson Region,Other multi-person household,957
2023,17,Nelson Region,One-person household with one usual resident,5436
2023,17,Nelson Region,Household composition unidentifiable,48
2023,17,Nelson Region,Total stated - household composition by number of usual residents,20106
2023,17,Nelson Region,Not elsewhere included,471
2023,18,Marlborough Region,Total - household composition by number of usual residents,19590
2023,18,Marlborough Region,One-family household (with or without other people),12867
2023,18,Marlborough Region,Two-family household (with or without other people),378
2023,18,Marlborough Region,Three-or-more family household (with or without other people),12
2023,18,Marlborough Region,Other multi-person household,804
2023,18,Marlborough Region,One-person household with one usual resident,4836
2023,18,Marlborough Region,Household composition unidentifiable,72
2023,18,Marlborough Region,Total stated - household composition by number of usual residents,18969
2023,18,Marlborough Region,Not elsewhere included,621
2023,12,West Coast Region,Total - household composition by number of usual residents,14205
2023,12,West Coast Region,One-family household (with or without other people),8112
2023,12,West Coast Region,Two-family household (with or without other people),192
2023,12,West Coast Region,Three-or-more family household (with or without other people),6
2023,12,West Coast Region,Other multi-person household,543
2023,12,West Coast Region,One-person household with one usual resident,4437
2023,12,West Coast Region,Household composition unidentifiable,54
2023,12,West Coast Region,Total stated - household composition by number of usual residents,13350
2023,12,West Coast Region,Not elsewhere included,858
2023,13,Canterbury Region,Total - household composition by number of usual residents,248550
2023,13,Canterbury Region,One-family household (with or without other people),163215
2023,13,Canterbury Region,Two-family household (with or without other people),5214
2023,13,Canterbury Region,Three-or-more family household (with or without other people),237
2023,13,Canterbury Region,Other multi-person household,13857
2023,13,Canterbury Region,One-person household with one usual resident,59034
2023,13,Canterbury Region,Household composition unidentifiable,738
2023,13,Canterbury Region,Total stated - household composition by number of usual residents,242295
2023,13,Canterbury Region,Not elsewhere included,6258
2023,14,Otago Region,Total - household composition by number of usual residents,91563
2023,14,Otago Region,One-family household (with or without other people),57783
2023,14,Otago Region,Two-family household (with or without other people),1638
2023,14,Otago Region,Three-or-more family household (with or without other people),57
2023,14,Otago Region,Other multi-person household,6774
2023,14,Otago Region,One-person household with one usual resident,22626
2023,14,Otago Region,Household composition unidentifiable,180
2023,14,Otago Region,Total stated - household composition by number of usual residents,89058
2023,14,Otago Region,Not elsewhere included,2502
2023,15,Southland Region,Total - household composition by number of usual residents,40185
2023,15,Southland Region,One-family household (with or without other people),25545
2023,15,Southland Region,Two-family household (with or without other people),531
2023,15,Southland Region,Three-or-more family household (with or without other people),21
2023,15,Southland Region,Other multi-person household,1686
2023,15,Southland Region,One-person household with one usual resident,10965
2023,15,Southland Region,Household composition unidentifiable,150
2023,15,Southland Region,Total stated - household composition by number of usual residents,38892
2023,15,Southland Region,Not elsewhere included,1290
2023,99,Area Outside Region,Total - household composition by number of usual residents,240
2023,99,Area Outside Region,One-family household (with or without other people),129
2023,99,Area Outside Region,Two-family household (with or without other people),9
2023,99,Area Outside Region,Three-or-more family household (with or without other people),0
2023,99,Area Outside Region,Other multi-person household,12
2023,99,Area Outside Region,One-person household with one usual resident,72
2023,99,Area Outside Region,Household composition unidentifiable,0
2023,99,Area Outside Region,Total stated - household composition by number of usual residents,222
2023,99,Area Outside Region,Not elsewhere included,18
