STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,CEN23_YEAR_001,Census year,CEN23_GEO_013,Area,CEN23_WRD_003,Weekly rent paid by household,CEN23_TIH_001,Total household income,CEN23_HOH_002,Household composition,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,14,Otago Region,777,Total stated - weekly rent paid by household,99,Total - total household income,3,Three or more family household (with or without other people),18,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,06,Hawke's Bay Region,03,$300 - $399,99,Total - total household income,6,Household composition unidentifiable,375,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,12,West Coast Region,03,$300 - $399,99,Total - total household income,77,Total stated - household composition,792,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,777,Total stated - weekly rent paid by household,99,Total - total household income,6,Household composition unidentifiable,37134,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,01,Northland Region,08,$800 and over,99,Total - total household income,1,One-family household (with or without other people),75,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,08,Manawatū-Whanganui Region,08,$800 and over,99,Total - total household income,2,Two-family household (with or without other people),12,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,99,Area Outside Region,04,$400 - $499,99,Total - total household income,2,Two-family household (with or without other people),,,c,Confidential
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,14,Otago Region,99,Not elsewhere included,99,Total - total household income,4,Other multi-person household,12,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,03,Waikato Region,999,Total - weekly rent paid by household,99,Total - total household income,4,Other multi-person household,4863,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,04,Bay of Plenty Region,03,$300 - $399,99,Total - total household income,99,Total - household composition,4650,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,03,Waikato Region,99,Not elsewhere included,99,Total - total household income,77,Total stated - household composition,606,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,07,Taranaki Region,08,$800 and over,99,Total - total household income,99,Total - household composition,111,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,07,Taranaki Region,08,$800 and over,99,Total - total household income,5,One-person household,21,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,06,Hawke's Bay Region,08,$800 and over,99,Total - total household income,6,Household composition unidentifiable,18,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,14,Otago Region,06,$600 - $699,99,Total - total household income,6,Household composition unidentifiable,84,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,12,West Coast Region,05,$500 - $599,99,Total - total household income,5,One-person household,6,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,01,Under $200,99,Total - total household income,2,Two-family household (with or without other people),3099,,,
DATAFLOW,STATSNZ:CEN23_HOU_022(1.0),"Weekly rent paid by household, total household income, and household composition for households in rented occupied private dwellings, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,02,Auckland Region,07,$700 - $799,99,Total - total household income,5,One-person household,1233,,,
