census_year,area_code,area,household_type,annual_household_income_band,Total - weekly rent paid by household,Under $200,$200 - $299,$300 - $399,$400 - $499,$500 - $599,$600 - $699,$700 - $799,$800 and over,Total stated - weekly rent paid by household,Not elsewhere included
2023,9999,Total - New Zealand by regional council,Total - household composition,Total - total household income,565974,89439,53325,80247,101067,99042,68544,32286,35712,559659,6312
2023,9999,Total - New Zealand by regional council,One-family household (with or without other people),Total - total household income,321618,36771,22923,40365,62694,68109,47994,21306,19254,319413,2205
2023,9999,Total - New Zealand by regional council,Two-family household (with or without other people),Total - total household income,20886,3099,1350,1782,2682,3507,3375,2235,2721,20754,135
2023,9999,Total - New Zealand by regional council,Three or more family household (with or without other people),Total - total household income,1509,264,96,117,144,168,201,168,336,1497,12
2023,9999,Total - New Zealand by regional council,Other multi-person household,Total - total household income,56640,6423,4350,5802,8349,9507,7746,4917,9168,56259,381
2023,9999,Total - New Zealand by regional council,One-person household,Total - total household income,127074,34998,20772,26712,20601,11745,5298,2094,2385,124602,2469
2023,9999,Total - New Zealand by regional council,Total stated - household composition,Total - total household income,527727,81561,49494,74778,94467,93036,64611,30717,33864,522528,5199
2023,9999,Total - New Zealand by regional council,Household composition unidentifiable,Total - total household income,38247,7878,3831,5469,6600,6006,3930,1566,1851,37134,1113
2023,9999,Total - New Zealand by regional council,Total - household composition,"$20,000 or less",50034,18021,5898,7158,6642,5373,3306,1317,1488,49200,831
2023,9999,Total - New Zealand by regional council,One-family household (with or without other people),"$20,000 or less",19059,5058,1416,2229,3267,3330,2178,792,609,18879,177
2023,9999,Total - New Zealand by regional council,Two-family household (with or without other people),"$20,000 or less",408,120,33,36,42,45,66,39,24,402,3
2023,9999,Total - New Zealand by regional council,Three or more family household (with or without other people),"$20,000 or less",15,6,3,0,0,3,0,3,0,15,0
2023,9999,Total - New Zealand by regional council,Other multi-person household,"$20,000 or less",3012,546,312,318,438,507,345,174,333,2973,39
2023,9999,Total - New Zealand by regional council,One-person household,"$20,000 or less",27450,12264,4128,4566,2877,1476,708,303,513,26838,609
2023,9999,Total - New Zealand by regional council,Total stated - household composition,"$20,000 or less",49941,17994,5895,7149,6627,5361,3297,1311,1479,49113,828
2023,9999,Total - New Zealand by regional council,Household composition unidentifiable,"$20,000 or less",93,27,3,9,12,12,9,9,9,87,3
2023,9999,Total - New Zealand by regional council,Total - household composition,"$20,001-$30,000",45123,17301,6810,7119,5622,3699,1848,759,858,44016,1104
2023,9999,Total - New Zealand by regional council,One-family household (with or without other people),"$20,001-$30,000",12756,3441,1038,1770,2508,2130,1122,378,243,12636,117
2023,9999,Total - New Zealand by regional council,Two-family household (with or without other people),"$20,001-$30,000",240,90,24,18,21,30,24,15,15,237,3
2023,9999,Total - New Zealand by regional council,Three or more family household (with or without other people),"$20,001-$30,000",12,6,0,0,0,0,3,3,0,12,0
2023,9999,Total - New Zealand by regional council,Other multi-person household,"$20,001-$30,000",2376,549,201,234,306,312,243,180,333,2355,21
2023,9999,Total - New Zealand by regional council,One-person household,"$20,001-$30,000",29694,13194,5544,5094,2781,1221,456,183,261,28734,963
2023,9999,Total - New Zealand by regional council,Total stated - household composition,"$20,001-$30,000",45081,17286,6807,7113,5616,3693,1845,759,852,43977,1104
2023,9999,Total - New Zealand by regional council,Household composition unidentifiable,"$20,001-$30,000",39,15,0,3,3,6,3,0,6,39,0
2023,9999,Total - New Zealand by regional council,Total - household composition,"$30,001-$50,000",72021,15585,9789,14034,13530,9555,4764,1716,1854,70827,1197
2023,9999,Total - New Zealand by regional council,One-family household (with or without other people),"$30,001-$50,000",38814,8403,3837,6315,8055,6504,3351,1068,729,38262,552
2023,9999,Total - New Zealand by regional council,Two-family household (with or without other people),"$30,001-$50,000",639,207,48,63,72,102,78,30,30,633,6
2023,9999,Total - New Zealand by regional council,Three or more family household (with or without other people),"$30,001-$50,000",24,15,0,0,0,3,0,6,3,24,0
2023,9999,Total - New Zealand by regional council,Other multi-person household,"$30,001-$50,000",6582,1368,687,882,1020,867,603,315,759,6507,72
2023,9999,Total - New Zealand by regional council,One-person household,"$30,001-$50,000",25740,5484,5199,6750,4353,2067,714,288,324,25179,561
2023,9999,Total - New Zealand by regional council,Total stated - household composition,"$30,001-$50,000",71802,15477,9774,14013,13500,9540,4749,1710,1845,70608,1191
2023,9999,Total - New Zealand by regional council,Household composition unidentifiable,"$30,001-$50,000",222,108,15,18,27,15,15,9,6,216,9
2023,9999,Total - New Zealand by regional council,Total - household composition,"$50,001-$70,000",66744,9693,7695,12855,14469,11277,6006,2190,1962,66150,597
2023,9999,Total - New Zealand by regional council,One-family household (with or without other people),"$50,001-$70,000",38880,5511,3390,6246,8844,7965,4293,1395,888,38532,348
2023,9999,Total - New Zealand by regional council,Two-family household (with or without other people),"$50,001-$70,000",1044,324,87,93,138,153,108,72,60,1038,6
2023,9999,Total - New Zealand by regional council,Three or more family household (with or without other people),"$50,001-$70,000",27,9,6,0,3,3,0,0,3,27,0
2023,9999,Total - New Zealand by regional council,Other multi-person household,"$50,001-$70,000",6693,1107,654,948,1158,1008,666,399,699,6636,54
2023,9999,Total - New Zealand by regional council,One-person household,"$50,001-$70,000",19698,2580,3531,5529,4257,2106,906,309,300,19518,177
2023,9999,Total - New Zealand by regional council,Total stated - household composition,"$50,001-$70,000",66339,9534,7668,12813,14400,11232,5970,2178,1953,65751,588
2023,9999,Total - New Zealand by regional council,Household composition unidentifiable,"$50,001-$70,000",408,159,27,39,69,45,36,12,9,402,6
2023,9999,Total - New Zealand by regional council,Total - household composition,"$70,001-$100,000",87399,9273,7995,14406,20397,18108,10044,3606,2991,86817,582
2023,9999,Total - New Zealand by regional council,One-family household (with or without other people),"$70,001-$100,000",59283,6117,4971,9123,13944,13230,7434,2535,1557,58908,375
2023,9999,Total - New Zealand by regional council,Two-family household (with or without other people),"$70,001-$100,000",2397,588,171,249,357,396,318,156,150,2379,15
2023,9999,Total - New Zealand by regional council,Three or more family household (with or without other people),"$70,001-$100,000",75,21,9,9,9,6,6,6,6,72,0
2023,9999,Total - New Zealand by regional council,Other multi-person household,"$70,001-$100,000",10029,1053,912,1425,1944,1857,1197,585,984,9957,72
2023,9999,Total - New Zealand by regional council,One-person household,"$70,001-$100,000",14547,1104,1833,3498,3981,2481,999,291,267,14448,99
2023,9999,Total - New Zealand by regional council,Total stated - household composition,"$70,001-$100,000",86334,8883,7893,14301,20232,17967,9951,3573,2964,85767,564
2023,9999,Total - New Zealand by regional council,Household composition unidentifiable,"$70,001-$100,000",1068,393,99,105,165,141,90,33,27,1050,18
2023,9999,Total - New Zealand by regional council,Total - household composition,"$100,001-$150,000",110088,8277,7326,13245,22893,26565,18471,7299,5466,109545,546
2023,9999,Total - New Zealand by regional council,One-family household (with or without other people),"$100,001-$150,000",83772,5511,5463,10230,17763,20988,14637,5418,3405,83418,354
2023,9999,Total - New Zealand by regional council,Two-family household (with or without other people),"$100,001-$150,000",4779,858,378,453,741,876,723,369,342,4734,45
2023,9999,Total - New Zealand by regional council,Three or more family household (with or without other people),"$100,001-$150,000",201,63,18,18,18,27,21,15,21,201,0
2023,9999,Total - New Zealand by regional council,Other multi-person household,"$100,001-$150,000",12642,1032,912,1311,2202,2688,2004,1050,1377,12576,69
2023,9999,Total - New Zealand by regional council,One-person household,"$100,001-$150,000",6819,276,417,1017,1851,1698,894,363,255,6774,48
2023,9999,Total - New Zealand by regional council,Total stated - household composition,"$100,001-$150,000",108219,7743,7191,13029,22575,26277,18273,7215,5400,107703,513
2023,9999,Total - New Zealand by regional council,Household composition unidentifiable,"$100,001-$150,000",1872,534,138,216,318,288,198,84,66,1839,33
2023,9999,Total - New Zealand by regional council,Total - household composition,"$150,001-$200,000",55575,3042,2703,4266,8007,12600,12147,6828,5757,55347,228
2023,9999,Total - New Zealand by regional council,One-family household (with or without other people),"$150,001-$200,000",40440,1791,1881,3093,5922,9630,9258,5010,3711,40296,147
2023,9999,Total - New Zealand by regional council,Two-family household (with or without other people),"$150,001-$200,000",4470,495,276,384,624,843,843,516,468,4452,21
2023,9999,Total - New Zealand by regional council,Three or more family household (with or without other people),"$150,001-$200,000",276,54,12,24,33,36,39,39,36,270,3
2023,9999,Total - New Zealand by regional council,Other multi-person household,"$150,001-$200,000",7164,381,342,435,831,1395,1455,999,1299,7140,27
2023,9999,Total - New Zealand by regional council,One-person household,"$150,001-$200,000",1893,51,69,171,375,462,396,195,168,1884,6
2023,9999,Total - New Zealand by regional council,Total stated - household composition,"$150,001-$200,000",54243,2772,2586,4107,7782,12366,11994,6759,5685,54042,204
2023,9999,Total - New Zealand by regional council,Household composition unidentifiable,"$150,001-$200,000",1332,270,117,165,228,234,153,69,75,1308,24
2023,9999,Total - New Zealand by regional council,Total - household composition,"$200,001 or more",46995,2103,1770,2361,3912,6801,8706,7305,13794,46755,237
2023,9999,Total - New Zealand by regional council,One-family household (with or without other people),"$200,001 or more",28614,930,927,1359,2388,4335,5721,4713,8106,28479,132
2023,9999,Total - New Zealand by regional council,Two-family household (with or without other people),"$200,001 or more",6909,423,330,489,684,1062,1218,1032,1632,6876,36
2023,9999,Total - New Zealand by regional council,Three or more family household (with or without other people),"$200,001 or more",873,90,48,66,81,93,129,102,264,870,6
2023,9999,Total - New Zealand by regional council,Other multi-person household,"$200,001 or more",8145,384,327,252,450,876,1233,1212,3384,8118,24
2023,9999,Total - New Zealand by regional council,One-person household,"$200,001 or more",1233,48,48,84,126,231,228,159,303,1224,9
2023,9999,Total - New Zealand by regional council,Total stated - household composition,"$200,001 or more",45774,1875,1680,2250,3732,6600,8529,7218,13689,45567,210
2023,9999,Total - New Zealand by regional council,Household composition unidentifiable,"$200,001 or more",1218,231,93,111,183,201,177,90,108,1188,27
2023,9999,Total - New Zealand by regional council,Total - household composition,Total stated - total household income,533979,83292,49989,75444,95472,93975,65295,31023,34167,528654,5325
2023,9999,Total - New Zealand by regional council,One-family household (with or without other people),Total stated - total household income,321618,36771,22923,40365,62694,68109,47994,21306,19254,319413,2205
2023,9999,Total - New Zealand by regional council,Two-family household (with or without other people),Total stated - total household income,20886,3099,1350,1782,2682,3507,3375,2235,2721,20754,135
2023,9999,Total - New Zealand by regional council,Three or more family household (with or without other people),Total stated - total household income,1509,264,96,117,144,168,201,168,336,1497,12
2023,9999,Total - New Zealand by regional council,Other multi-person household,Total stated - total household income,56640,6423,4350,5802,8349,9507,7746,4917,9168,56259,381
2023,9999,Total - New Zealand by regional council,One-person household,Total stated - total household income,127074,34998,20772,26712,20601,11745,5298,2094,2385,124602,2469
2023,9999,Total - New Zealand by regional council,Total stated - household composition,Total stated - total household income,527727,81561,49494,74778,94467,93036,64611,30717,33864,522528,5199
2023,9999,Total - New Zealand by regional council,Household composition unidentifiable,Total stated - total household income,6252,1734,498,663,1008,939,684,306,303,6129,123
2023,9999,Total - New Zealand by regional council,Total - household composition,Not stated,31992,6147,3336,4806,5595,5070,3249,1260,1545,31002,990
2023,9999,Total - New Zealand by regional council,One-family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,9999,Total - New Zealand by regional council,Two-family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,9999,Total - New Zealand by regional council,Three or more family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,9999,Total - New Zealand by regional council,Other multi-person household,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,9999,Total - New Zealand by regional council,One-person household,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,9999,Total - New Zealand by regional council,Total stated - household composition,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,9999,Total - New Zealand by regional council,Household composition unidentifiable,Not stated,31992,6147,3336,4806,5595,5070,3249,1260,1545,31002,990
2023,01,Northland Region,Total - household composition,Total - total household income,18096,3549,2463,3486,3732,2697,1248,336,147,17658,438
2023,01,Northland Region,One-family household (with or without other people),Total - total household income,9843,1398,1056,1791,2373,1896,885,225,75,9705,138
2023,01,Northland Region,Two-family household (with or without other people),Total - total household income,618,114,63,93,141,105,66,21,3,606,12
2023,01,Northland Region,Three or more family household (with or without other people),Total - total household income,48,18,3,6,9,6,3,3,0,48,0
2023,01,Northland Region,Other multi-person household,Total - total household income,1173,219,165,225,225,156,105,27,27,1152,21
2023,01,Northland Region,One-person household,Total - total household income,4479,1314,897,1053,642,267,93,36,24,4329,150
2023,01,Northland Region,Total stated - household composition,Total - total household income,16167,3066,2187,3171,3390,2433,1152,312,132,15843,327
2023,01,Northland Region,Household composition unidentifiable,Total - total household income,1926,483,279,315,345,261,99,24,9,1818,111
2023,01,Northland Region,Total - household composition,"$20,000 or less",1809,591,300,354,273,153,66,12,12,1761,45
2023,01,Northland Region,One-family household (with or without other people),"$20,000 or less",690,150,81,132,150,111,42,3,6,678,12
2023,01,Northland Region,Two-family household (with or without other people),"$20,000 or less",6,3,0,3,0,0,3,0,0,6,0
2023,01,Northland Region,Three or more family household (with or without other people),"$20,000 or less",0,0,0,0,0,0,0,0,0,0,0
2023,01,Northland Region,Other multi-person household,"$20,000 or less",57,12,9,12,12,6,3,0,0,54,6
2023,01,Northland Region,One-person household,"$20,000 or less",1047,423,210,210,111,36,18,6,6,1017,27
2023,01,Northland Region,Total stated - household composition,"$20,000 or less",1803,588,300,354,270,153,66,12,12,1758,45
2023,01,Northland Region,Household composition unidentifiable,"$20,000 or less",6,3,0,0,0,0,0,0,0,3,0
2023,01,Northland Region,Total - household composition,"$20,001-$30,000",1854,675,318,354,255,120,51,9,6,1785,72
2023,01,Northland Region,One-family household (with or without other people),"$20,001-$30,000",483,108,45,78,132,75,30,6,3,477,6
2023,01,Northland Region,Two-family household (with or without other people),"$20,001-$30,000",9,0,0,3,3,0,0,0,0,9,0
2023,01,Northland Region,Three or more family household (with or without other people),"$20,001-$30,000",0,0,0,0,0,0,0,0,0,0,0
2023,01,Northland Region,Other multi-person household,"$20,001-$30,000",48,21,9,6,6,6,3,0,0,48,0
2023,01,Northland Region,One-person household,"$20,001-$30,000",1308,543,258,264,117,39,15,6,3,1251,60
2023,01,Northland Region,Total stated - household composition,"$20,001-$30,000",1851,672,318,354,255,120,51,9,6,1782,69
2023,01,Northland Region,Household composition unidentifiable,"$20,001-$30,000",3,3,0,0,0,0,0,0,0,3,0
2023,01,Northland Region,Total - household composition,"$30,001-$50,000",2862,621,468,642,579,324,90,27,24,2778,84
2023,01,Northland Region,One-family household (with or without other people),"$30,001-$50,000",1614,336,210,312,378,240,69,15,9,1572,45
2023,01,Northland Region,Two-family household (with or without other people),"$30,001-$50,000",24,9,3,6,3,3,3,0,0,24,0
2023,01,Northland Region,Three or more family household (with or without other people),"$30,001-$50,000",3,3,0,0,0,0,0,0,0,3,0
2023,01,Northland Region,Other multi-person household,"$30,001-$50,000",186,54,33,48,24,12,6,3,3,186,3
2023,01,Northland Region,One-person household,"$30,001-$50,000",1017,210,225,276,168,69,12,9,9,978,36
2023,01,Northland Region,Total stated - household composition,"$30,001-$50,000",2844,612,468,642,576,324,90,27,21,2760,84
2023,01,Northland Region,Household composition unidentifiable,"$30,001-$50,000",15,9,0,3,3,0,3,0,3,15,0
2023,01,Northland Region,Total - household composition,"$50,001-$70,000",2280,390,333,513,522,312,123,33,12,2238,42
2023,01,Northland Region,One-family household (with or without other people),"$50,001-$70,000",1446,240,165,294,351,246,96,24,6,1425,21
2023,01,Northland Region,Two-family household (with or without other people),"$50,001-$70,000",36,15,3,0,9,3,0,3,3,36,0
2023,01,Northland Region,Three or more family household (with or without other people),"$50,001-$70,000",0,0,0,0,0,0,0,0,0,0,0
2023,01,Northland Region,Other multi-person household,"$50,001-$70,000",189,39,39,51,30,15,9,0,0,186,3
2023,01,Northland Region,One-person household,"$50,001-$70,000",582,90,123,165,123,45,15,6,3,564,18
2023,01,Northland Region,Total stated - household composition,"$50,001-$70,000",2256,381,330,510,516,312,123,33,12,2214,42
2023,01,Northland Region,Household composition unidentifiable,"$50,001-$70,000",24,6,3,3,9,3,0,0,0,24,0
2023,01,Northland Region,Total - household composition,"$70,001-$100,000",2778,378,336,588,696,507,168,48,12,2739,42
2023,01,Northland Region,One-family household (with or without other people),"$70,001-$100,000",1992,249,213,411,513,411,126,39,9,1968,24
2023,01,Northland Region,Two-family household (with or without other people),"$70,001-$100,000",96,24,12,15,24,9,6,3,0,93,3
2023,01,Northland Region,Three or more family household (with or without other people),"$70,001-$100,000",3,0,0,0,0,3,0,0,0,3,0
2023,01,Northland Region,Other multi-person household,"$70,001-$100,000",240,36,30,51,60,30,21,3,0,234,6
2023,01,Northland Region,One-person household,"$70,001-$100,000",357,30,69,99,87,48,12,6,3,351,6
2023,01,Northland Region,Total stated - household composition,"$70,001-$100,000",2688,345,324,573,681,498,168,48,12,2649,36
2023,01,Northland Region,Household composition unidentifiable,"$70,001-$100,000",93,36,12,12,15,9,3,0,0,87,3
2023,01,Northland Region,Total - household composition,"$100,001-$150,000",3045,351,306,540,747,648,339,66,18,3018,27
2023,01,Northland Region,One-family household (with or without other people),"$100,001-$150,000",2334,225,228,423,597,516,273,54,15,2322,12
2023,01,Northland Region,Two-family household (with or without other people),"$100,001-$150,000",183,27,24,30,36,39,21,3,0,174,6
2023,01,Northland Region,Three or more family household (with or without other people),"$100,001-$150,000",15,9,0,3,0,3,0,0,0,15,0
2023,01,Northland Region,Other multi-person household,"$100,001-$150,000",267,39,36,39,69,51,27,3,3,264,3
2023,01,Northland Region,One-person household,"$100,001-$150,000",123,18,9,33,30,21,15,3,0,123,0
2023,01,Northland Region,Total stated - household composition,"$100,001-$150,000",2925,312,291,522,729,630,333,66,18,2901,24
2023,01,Northland Region,Household composition unidentifiable,"$100,001-$150,000",120,39,15,15,21,18,6,0,3,117,3
2023,01,Northland Region,Total - household composition,"$150,001-$200,000",1176,114,120,150,240,264,207,48,12,1155,21
2023,01,Northland Region,One-family household (with or without other people),"$150,001-$200,000",840,63,84,102,171,198,159,36,9,825,15
2023,01,Northland Region,Two-family household (with or without other people),"$150,001-$200,000",132,21,9,18,36,24,18,6,0,132,0
2023,01,Northland Region,Three or more family household (with or without other people),"$150,001-$200,000",12,3,3,3,0,3,0,3,0,12,0
2023,01,Northland Region,Other multi-person household,"$150,001-$200,000",96,6,9,12,15,24,18,6,3,93,0
2023,01,Northland Region,One-person household,"$150,001-$200,000",21,0,3,6,3,3,0,3,0,21,0
2023,01,Northland Region,Total stated - household composition,"$150,001-$200,000",1095,93,108,138,228,255,198,48,12,1077,21
2023,01,Northland Region,Household composition unidentifiable,"$150,001-$200,000",81,21,9,12,15,12,6,0,0,78,6
2023,01,Northland Region,Total - household composition,"$200,001 or more",774,75,57,81,147,159,135,69,42,765,9
2023,01,Northland Region,One-family household (with or without other people),"$200,001 or more",444,33,27,39,81,99,90,48,18,441,0
2023,01,Northland Region,Two-family household (with or without other people),"$200,001 or more",132,15,12,18,30,24,18,6,3,132,3
2023,01,Northland Region,Three or more family household (with or without other people),"$200,001 or more",18,6,0,3,6,3,0,0,0,18,0
2023,01,Northland Region,Other multi-person household,"$200,001 or more",90,9,6,6,15,12,15,12,15,90,0
2023,01,Northland Region,One-person household,"$200,001 or more",21,3,0,3,3,3,3,0,3,21,0
2023,01,Northland Region,Total stated - household composition,"$200,001 or more",702,63,48,72,135,144,126,69,39,696,3
2023,01,Northland Region,Household composition unidentifiable,"$200,001 or more",69,12,9,9,9,18,9,0,3,66,3
2023,01,Northland Region,Total - household composition,Total stated - total household income,16578,3195,2235,3225,3459,2487,1173,315,138,16236,342
2023,01,Northland Region,One-family household (with or without other people),Total stated - total household income,9843,1398,1056,1791,2373,1896,885,225,75,9705,138
2023,01,Northland Region,Two-family household (with or without other people),Total stated - total household income,618,114,63,93,141,105,66,21,3,606,12
2023,01,Northland Region,Three or more family household (with or without other people),Total stated - total household income,48,18,3,6,9,6,3,3,0,48,0
2023,01,Northland Region,Other multi-person household,Total stated - total household income,1173,219,165,225,225,156,105,27,27,1152,21
2023,01,Northland Region,One-person household,Total stated - total household income,4479,1314,897,1053,642,267,93,36,24,4329,150
2023,01,Northland Region,Total stated - household composition,Total stated - total household income,16167,3066,2187,3171,3390,2433,1152,312,132,15843,327
2023,01,Northland Region,Household composition unidentifiable,Total stated - total household income,411,132,51,54,72,54,21,3,3,393,18
2023,01,Northland Region,Total - household composition,Not stated,1515,354,225,261,273,207,75,21,6,1422,96
2023,01,Northland Region,One-family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,01,Northland Region,Two-family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,01,Northland Region,Three or more family household (with or without other people),Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,01,Northland Region,Other multi-person household,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,01,Northland Region,One-person household,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,01,Northland Region,Total stated - household composition,Not stated,0,0,0,0,0,0,0,0,0,0,0
2023,01,Northland Region,Household composition unidentifiable,Not stated,1515,354,225,261,273,207,75,21,6,1422,96
2023,02,Auckland Region,Total - household composition,Total - total household income,207531,28113,9909,16734,28827,42645,37143,19629,22899,205899,1632
2023,02,Auckland Region,One-family household (with or without other people),Total - total household income,126456,14109,4995,7080,16251,29433,26676,13461,13815,125820,639
2023,02,Auckland Region,Two-family household (with or without other people),Total - total household income,10773,1686,552,567,777,1551,1926,1524,2124,10710,60
2023,02,Auckland Region,Three or more family household (with or without other people),Total - total household income,936,150,48,60,57,81,129,129,276,930,6
2023,02,Auckland Region,Other multi-person household,Total - total household income,19419,1731,978,1161,2154,3456,3351,2295,4185,19320,102
2023,02,Auckland Region,One-person household,Total - total household income,37407,8322,2772,6837,7764,5661,2928,1233,1395,36918,489
2023,02,Auckland Region,Total stated - household composition,Total - total household income,194994,25995,9348,15705,27003,40182,35010,18648,21801,193695,1296
2023,02,Auckland Region,Household composition unidentifiable,Total - total household income,12540,2115,561,1029,1821,2460,2133,981,1098,12204,336
2023,02,Auckland Region,Total - household composition,"$20,000 or less",18192,6429,1164,1821,2205,2613,1998,846,888,17961,231
2023,02,Auckland Region,One-family household (with or without other people),"$20,000 or less",8229,2496,414,417,876,1560,1368,552,471,8154,72
2023,02,Auckland Region,Two-family household (with or without other people),"$20,000 or less",264,75,24,15,21,27,48,30,21,264,0
2023,02,Auckland Region,Three or more family household (with or without other people),"$20,000 or less",9,3,3,0,0,0,3,3,0,9,0
2023,02,Auckland Region,Other multi-person household,"$20,000 or less",1203,171,111,90,165,270,165,81,138,1197,6
2023,02,Auckland Region,One-person household,"$20,000 or less",8448,3672,609,1299,1140,750,411,171,252,8298,150
2023,02,Auckland Region,Total stated - household composition,"$20,000 or less",18147,6417,1158,1821,2199,2610,1995,840,879,17919,231
2023,02,Auckland Region,Household composition unidentifiable,"$20,000 or less",39,12,0,0,6,3,6,6,6,39,0
2023,02,Auckland Region,Total - household composition,"$20,001-$30,000",12252,4809,960,1428,1518,1494,999,432,393,12033,222
2023,02,Auckland Region,One-family household (with or without other people),"$20,001-$30,000",4443,1473,249,258,483,843,657,264,177,4401,42
2023,02,Auckland Region,Two-family household (with or without other people),"$20,001-$30,000",132,63,12,9,6,9,12,9,9,132,0
2023,02,Auckland Region,Three or more family household (with or without other people),"$20,001-$30,000",9,6,0,0,0,0,0,0,0,9,0
2023,02,Auckland Region,Other multi-person household,"$20,001-$30,000",687,174,48,60,96,105,78,57,69,684,6
2023,02,Auckland Region,One-person household,"$20,001-$30,000",6957,3093,654,1098,933,534,246,102,129,6789,168
2023,02,Auckland Region,Total stated - household composition,"$20,001-$30,000",12234,4803,960,1428,1515,1491,999,432,387,12015,222
2023,02,Auckland Region,Household composition unidentifiable,"$20,001-$30,000",18,6,0,3,0,3,0,0,3,18,0
2023,02,Auckland Region,Total - household composition,"$30,001-$50,000",21651,4866,1572,2637,3741,4092,2631,996,867,21399,252
2023,02,Auckland Region,One-family household (with or without other people),"$30,001-$50,000",12867,3294,792,927,1842,2703,1959,705,522,12744,126
2023,02,Auckland Region,Two-family household (with or without other people),"$30,001-$50,000",321,111,24,15,24,54,48,24,21,321,3
2023,02,Auckland Region,Three or more family household (with or without other people),"$30,001-$50,000",15,9,0,0,0,0,0,0,0,15,0
2023,02,Auckland Region,Other multi-person household,"$30,001-$50,000",1797,381,138,162,285,309,243,99,162,1776,21
2023,02,Auckland Region,One-person household,"$30,001-$50,000",6573,1029,618,1533,1584,1020,369,159,153,6465,105
2023,02,Auckland Region,Total stated - household composition,"$30,001-$50,000",21570,4824,1572,2634,3735,4083,2619,987,861,21321,252
2023,02,Auckland Region,Household composition unidentifiable,"$30,001-$50,000",81,39,3,0,6,6,9,9,6,78,0
2023,02,Auckland Region,Total - household composition,"$50,001-$70,000",21459,2748,1380,2703,4056,4749,3327,1317,1032,21309,150
2023,02,Auckland Region,One-family household (with or without other people),"$50,001-$70,000",13365,1953,726,993,2196,3342,2520,915,624,13263,102
2023,02,Auckland Region,Two-family household (with or without other people),"$50,001-$70,000",480,156,39,30,42,60,54,54,45,477,3
2023,02,Auckland Region,Three or more family household (with or without other people),"$50,001-$70,000",15,6,3,0,3,0,0,0,3,15,0
2023,02,Auckland Region,Other multi-person household,"$50,001-$70,000",1881,279,105,198,318,369,258,165,174,1860,15
2023,02,Auckland Region,One-person household,"$50,001-$70,000",5586,306,504,1473,1482,969,471,174,183,5559,27
2023,02,Auckland Region,Total stated - household composition,"$50,001-$70,000",21324,2700,1374,2694,4038,4734,3303,1305,1026,21177,150
2023,02,Auckland Region,Household composition unidentifiable,"$50,001-$70,000",135,51,3,9,15,12,24,9,6,135,3
2023,02,Auckland Region,Total - household composition,"$70,001-$100,000",29931,2946,1437,2754,5616,7665,5454,2163,1743,29778,153
2023,02,Auckland Region,One-family household (with or without other people),"$70,001-$100,000",20391,2106,921,1431,3456,5568,4122,1611,1083,20295,96
2023,02,Auckland Region,Two-family household (with or without other people),"$70,001-$100,000",1080,306,60,60,72,171,180,105,117,1074,3
2023,02,Auckland Region,Three or more family household (with or without other people),"$70,001-$100,000",45,15,3,6,3,0,6,6,6,45,0
2023,02,Auckland Region,Other multi-person household,"$70,001-$100,000",2931,270,165,246,456,672,528,243,333,2913,18
2023,02,Auckland Region,One-person household,"$70,001-$100,000",5178,132,276,1002,1602,1209,570,180,186,5151,27
2023,02,Auckland Region,Total stated - household composition,"$70,001-$100,000",29628,2832,1422,2745,5589,7620,5406,2142,1722,29478,150
2023,02,Auckland Region,Household composition unidentifiable,"$70,001-$100,000",303,111,15,12,30,45,48,21,21,300,3
2023,02,Auckland Region,Total - household composition,"$100,001-$150,000",42903,2637,1551,2661,6435,11583,9840,4536,3501,42741,162
2023,02,Auckland Region,One-family household (with or without other people),"$100,001-$150,000",32739,1701,1083,1917,4878,9276,7914,3465,2397,32634,108
2023,02,Auckland Region,Two-family household (with or without other people),"$100,001-$150,000",2220,456,141,126,195,366,381,261,273,2196,24
2023,02,Auckland Region,Three or more family household (with or without other people),"$100,001-$150,000",114,33,9,6,9,15,15,12,18,114,0
2023,02,Auckland Region,Other multi-person household,"$100,001-$150,000",4164,216,198,237,504,960,924,516,594,4152,15
2023,02,Auckland Region,One-person household,"$100,001-$150,000",3063,57,90,348,807,846,504,231,171,3054,9
2023,02,Auckland Region,Total stated - household composition,"$100,001-$150,000",42300,2460,1521,2634,6396,11466,9735,4482,3450,42147,153
2023,02,Auckland Region,Household composition unidentifiable,"$100,001-$150,000",603,177,30,27,45,117,102,54,48,597,6
2023,02,Auckland Region,Total - household composition,"$150,001-$200,000",25560,1215,717,1062,2385,5505,6531,4167,3912,25494,63
2023,02,Auckland Region,One-family household (with or without other people),"$150,001-$200,000",18963,681,462,738,1752,4344,5115,3132,2700,18924,39
